archivo,num_contornos,area_total,perimetro_promedio,densidad_contornos,etiqueta
procesado_m10.jpg,101,26457.0,36.32853806490945,261.9504950495049,defectuoso
procesado_m1.jpg,135,19571.0,39.28641384884163,144.97037037037038,defectuoso
procesado_m3.jpg,90,23974.0,42.627350680033366,266.3777777777778,defectuoso
procesado_m2.jpg,134,15596.5,33.37223843674162,116.39179104477611,defectuoso
procesado_m6.jpg,148,22898.5,30.401877884929245,154.71959459459458,defectuoso
procesado_b9.jpg,118,22527.5,32.39820739475347,190.91101694915255,bueno
procesado_b8.jpg,81,25193.5,36.819646564530736,311.0308641975309,bueno
procesado_m7.jpg,76,29866.0,27.786218949054415,392.9736842105263,defectuoso
procesado_m5.jpg,98,28133.0,35.949741807519175,287.07142857142856,defectuoso
procesado_m4.jpg,67,28236.0,38.480861348892326,421.43283582089555,defectuoso
procesado_m9.jpg,77,29773.0,36.18127044609615,386.6623376623377,defectuoso
procesado_b6.jpg,96,21540.0,43.48917836199204,224.375,bueno
procesado_b7.jpg,137,14650.0,30.702128258934856,106.93430656934306,bueno
procesado_m8.jpg,88,29725.5,34.22715170410547,337.78977272727275,defectuoso
procesado_b5.jpg,125,18917.0,38.45278213787079,151.336,bueno
procesado_b4.jpg,116,28603.0,32.795857109900176,246.57758620689654,bueno
procesado_b1.jpg,98,25528.5,37.45386537240476,260.4948979591837,bueno
procesado_b10.jpg,136,19413.5,39.20077557335882,142.74632352941177,bueno
procesado_b3.jpg,157,18602.0,34.61679899540677,118.48407643312102,bueno
procesado_b2.jpg,112,23602.0,33.516901965652195,210.73214285714286,bueno
